                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44723,                0.60196,                0.28358,                0.86276,                0.99074,                0.99748,                0.99413,                0.95898,                0.99074,                0.99748,                0.99413,                0.94237,                0.30918,                0.40672,                0.24128,                 0.7579,              0.0033328,              0.0033328,              0.0033328
                      2,                0.40991,                0.49111,                0.24495,                 0.8457,                0.99242,                0.99657,                0.99436,                0.96165,                0.99242,                0.99657,                0.99436,                0.94363,                0.29429,                0.38863,                0.23911,                0.75258,              0.0066442,              0.0066442,              0.0066442
                      3,                0.43472,                0.51839,                 0.2693,                0.85131,                 0.9941,                0.99329,                0.99429,                0.95822,                 0.9941,                0.99329,                0.99429,                0.94241,                0.30874,                0.39476,                0.21862,                0.75762,              0.0099335,              0.0099335,              0.0099335
                      4,                0.46933,                0.55606,                0.29687,                0.85904,                0.99155,                0.99685,                0.99425,                0.96075,                0.99155,                0.99685,                0.99425,                0.94369,                0.30102,                0.39126,                0.28991,                0.75476,               0.009901,               0.009901,               0.009901
                      5,                 0.4644,                0.54317,                0.29644,                0.85767,                 0.9923,                0.99795,                0.99435,                0.96487,                 0.9923,                0.99795,                0.99435,                 0.9477,                 0.2925,                0.37945,                0.25719,                0.75374,               0.009901,               0.009901,               0.009901
                      6,                0.45772,                0.53634,                 0.2922,                0.85498,                0.99317,                0.99635,                0.99422,                0.96951,                0.99317,                0.99635,                0.99422,                0.95473,                0.28358,                0.37115,                0.23234,                0.75208,               0.009868,               0.009868,               0.009868
                      7,                0.45583,                0.53143,                0.29247,                 0.8548,                0.99235,                0.99685,                0.99434,                0.96869,                0.99235,                0.99685,                0.99434,                0.95258,                0.27608,                0.36437,                0.23522,                0.74901,               0.009835,               0.009835,               0.009835
                      8,                0.45094,                0.52481,                0.28962,                0.85333,                0.99316,                0.99589,                0.99434,                0.97048,                0.99316,                0.99589,                0.99434,                0.95567,                0.27377,                0.35988,                0.24115,                0.74871,               0.009802,               0.009802,               0.009802
                      9,                0.44995,                0.51952,                0.28841,                0.85384,                0.99337,                0.99626,                0.99435,                0.97385,                0.99337,                0.99626,                0.99435,                0.95904,                0.26801,                0.35818,                0.23587,                0.74675,               0.009769,               0.009769,               0.009769
                     10,                 0.4447,                0.51509,                0.28458,                0.85168,                0.99282,                0.99753,                 0.9944,                0.97426,                0.99282,                0.99753,                 0.9944,                0.95988,                0.26422,                0.35024,                0.23606,                0.74648,               0.009736,               0.009736,               0.009736
